date : 2015-12-31
BGF리테일 027410 유동자산 785,728,684,835
BGF리테일 027410 현금및현금성자산 18,222,654,095
BGF리테일 027410 재고자산 47,778,215,335
BGF리테일 027410 기타유동자산 9,178,828,445
BGF리테일 027410 비유동자산 674,471,819,195
BGF리테일 027410 장기금융상품 7,500,000
BGF리테일 027410 유형자산 304,553,250,525
BGF리테일 027410 무형자산 48,042,920,971
BGF리테일 027410 기타비유동자산 28,317,506,198
BGF리테일 027410 자산총계 1,460,200,504,030
BGF리테일 027410 유동부채 586,108,541,634
BGF리테일 027410 당기법인세부채 29,713,279,166
BGF리테일 027410 기타유동부채 24,234,662,234
BGF리테일 027410 비유동부채 161,650,557,945
BGF리테일 027410 이연법인세부채 9,913,157,985
BGF리테일 027410 부채총계 747,759,099,579
BGF리테일 027410 자본금 24,773,964,000
BGF리테일 027410 기타포괄손익누계액 219,538,914
BGF리테일 027410 이익잉여금(결손금) 631,213,899,705
BGF리테일 027410 자본총계 712,441,404,451
BGF리테일 027410 부채총계 1,460,200,504,030
date : 2016-03-31
BGF리테일 027410 유동자산 696,787,842,418
BGF리테일 027410 현금및현금성자산 75,272,593,944
BGF리테일 027410 재고자산 54,578,274,859
BGF리테일 027410 기타유동자산 10,117,745,905
BGF리테일 027410 비유동자산 794,331,859,063
BGF리테일 027410 장기금융상품 7,500,000
BGF리테일 027410 유형자산 306,592,324,499
BGF리테일 027410 무형자산 44,522,939,475
BGF리테일 027410 기타비유동자산 29,725,408,847
BGF리테일 027410 자산총계 1,491,119,701,481
BGF리테일 027410 유동부채 607,867,383,969
BGF리테일 027410 기타유동금융부채 129,109,579,982
BGF리테일 027410 당기법인세부채 24,777,694,284
BGF리테일 027410 기타유동부채 21,328,846,900
BGF리테일 027410 비유동부채 172,536,527,114
BGF리테일 027410 이연법인세부채 9,555,015,250
BGF리테일 027410 부채총계 780,403,911,083
BGF리테일 027410 자본금 24,773,964,000
BGF리테일 027410 기타포괄손익누계액 219,538,914
BGF리테일 027410 이익잉여금(결손금) 629,707,824,566
BGF리테일 027410 자본총계 710,715,790,398
BGF리테일 027410 부채총계 1,491,119,701,481
date : 2016-06-30
BGF리테일 027410 유동자산 779,510,169,818
BGF리테일 027410 현금및현금성자산 37,905,871,092
BGF리테일 027410 재고자산 56,546,690,908
BGF리테일 027410 기타유동자산 10,692,765,266
BGF리테일 027410 비유동자산 818,528,774,576
BGF리테일 027410 장기금융상품 5,000,000
